dt	pCa	dhsl	mode
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
0.0005	4.5	0.0	-2.0
