dt	pCa	dhsl	mode
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
0.00100	9.00000	0.00000	-2.00000
