dt	pCa	dhsl	mode
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
0.001	6.0	0.0	-2.0
