dt	pCa	dhsl	mode
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
0.0005	6.0	0.0	-2.0
